,ner
123,"['45a', 'lê thánh tôn', '1', 'đô thị', 'hcm', 'thương mại', '72', 'phường', 'trung tâm', 'phát triển', 'thời đại', 'đầu tư', '47', 'mtv', 'hose', 'bến nghé', 'mới công ty', 'thế hệ', 'công ty', 'nam', 'ctcp', 'vincom center b', 'vincom', 'tp', 'lý tự trọng', 'tập đoàn', 'và', 'vic', 'tnhh', 'vingroup', 'quận']"
126,['fpt']
140,"['công thương', 'tmcp', 'ngân hàng', 'việt nam']"
141,"['phát triển', 'hội đồng', 'cửu long mhb', 'nông nghiệp', 'đồng bằng', 'ngân hàng', 'hùng', 'vamc', 'nhà', 'sông', 'và', 'nông thôn', 'nguyễn quốc hùng', 'bidv', 'thành viên', 'việt nam']"
144,"['đá quý', 'ctcp', 'phú nhuận', 'pnj', 'vàng bạc']"
146,"['phát triển', 'hai', 'công ty', 'vic', 'đầu tư', 'tnhh', 'ngọc viễn đông']"
150,"['hose', 'ngân hàng', 'agribank tính', 'bidv', 'nhà nước', 'việt nam']"
151,['ssi']
152,"['đá quý', 'ctcp', 'phú nhuận', 'pnj', 'vàng bạc']"
154,"['thuế', 'tp hcm', 'pnj', 'cục']"
161,[]
162,['chi tiết']
163,['fpt']
166,"['cổ phần', 'công ty', 'đầu tư', 'vic', 'xây dựng', 'tân liên phát']"
168,"['ubcknn', 'nhà nước', 'ngân hàng']"
170,"['sài gòn', 'bibica', 'thuỷ hải', 'chứng khoán', 'ctcp', 'bến tre', 'sản', 'ssi', 'việt nam']"
171,"['stb', 'lê thu quỳnh mã']"
181,[]
183,"['andy ho', 'nguyễn thị hương giang']"
187,"['nam trung bộ', 'hoàng thanh hải', 'bắc', 'stb', 'tây nguyên', 'miền', 'nguyễn đức thạch diễm']"
190,"['stb', 'nguyễn minh tâm mã']"
196,[]
199,"['đá quý', 'ctcp', 'phú nhuận', 'pnj', 'vàng bạc']"
201,[]
202,[]
207,"['phan thị chinh', 'hà', 'vamc', 'morgan standley', 'bidv', 'lê đào nguyên', 'trần bắc hà', 'trần văn hiếu']"
209,['lê thị kim khuyên']
211,['stb']
213,"['đt', 'ngân hàng', 'pt', 'bidv', 'bid', '&', 'việt nam']"
214,['vcb']
217,['msn']
218,[]
219,[]
221,"['is', 'fpt']"
223,"['bidv', 'bid']"
224,['bidv']
226,"['hồ doãn cường mã', 'stb']"
228,['đặng ngọc cả mã']
229,[]
230,"['stb', 'thị nghè', 'hồ doãn thuỷ nhi mã']"
231,"['bình thạnh', 'stb', 'hồ doãn thục quyên mã']"
234,"['châu âu', 'fpt', 'slovakia', 'software', 'it', 'rwe']"
240,[]
241,['đặng ngọc cả mã']
243,[]
244,[]
247,"['đầu tư', 'di động', 'thế giới', 'ctcp']"
248,['trần minh khoa mã']
249,[]
250,['fpt']
251,"['vn', 'vinpearl', 'ctcp']"
253,[]
254,"['luỹ', 'fpt']"
256,"['vingroup vic', 'tập đoàn', 'ctcp', 'vic', 'vinpearl', 'việt nam']"
257,[]
258,[]
259,[]
260,"['nguyễn tất thắng mã', 'mai hương nội', 'việt nam', 'vic']"
261,"['số lượng', 'mai hương nội', 'vic', 'mai thu thuỷ mã', 'việt nam']"
262,"['mai tất tố mã', 'việt nam', 'vic', 'mai hương nội']"
263,"['cty', 'kgm', 'mai hương nội', 'thương mại', 'đầu tư', 'kinh doanh', 'tnhh']"
264,"['mai hương nội mã', 'việt nam', 'vic', 'mai hương nội']"
265,"['đặng thanh thuý mã', 'vic']"
267,"['hoàng việt phương mã', 'nguyễn đức thành']"
268,"['vingroup vic', 'tập đoàn', 'ctcp', 'vic', 'vinpearl', 'việt nam']"
270,[]
271,"['ngân hàng', 'ngoại thương', 'nhnn', 'tmcp', 'việt nam']"
272,"['vn', 'vinpearl', 'ctcp']"
