,ner
773,"['phát triển', 'nhà nước', 'cổ phần', 'hana', 'hana hàn quốc', 'keb', 'ngân hàng', 'thương mại', 'và', 'đầu tư', 'bidv', 'kho bạc', 'việt nam']"
774,"['khải', 'gia định', '7', 'nguyễn lương bằng', 'hcm', 'phường', 'nhà nước', 'phú mỹ', 'đường', 'phú mỹ hưng', 'ctcp', 'đức', 'bidv', 'tp', 'hose bid chi', 'nhánh', 'ngân hàng', '1', 'quận']"
775,"['thái bình', 'tổng công ty', 'queen', 'công ty', 'công nghiệp', 'bắc', 'hải phòng', 'vận tải biển', 'carl bro đan mạch', 'hoa ngọc lan', 'hà', 'nam triệu', 'bidv', 'nội', 'hoa ngọc lan ocean', 'tàu thuỷ', 'vinashin']"
776,"['cổ phần', 'công ty', 'thế giới', 'di động', 'mwg', 'việt nam']"
777,"['masan consumer holdings', 'meat hà nam phần', 'cổ phần', 'masan', 'masan đây', 'mns', 'núi', 'công ty', 'tập đoàn', 'hàng tiêu dùng', 'masan msn', 'pháo ban', 'tnhh', 'masan trái', 'vingroup']"
778,"['hose pnj', 'công ty', 'đá quý', 'gold', 'vàng bạc', 'pnj', 'silver', 'phú nhuận']"
779,"['fpt', 'minh phú mpc', 'tập đoàn', 'trương gia bình', 'dupon coca cola', 'minh phú', 'việt nam', 'bình']"
780,"['thế giới', 'ctcp', 'di động', 'đầu tư', 'mwg']"
781,"['việt masan consumer', 'hàng tiêu dùng', 'masan masan consumer mch', 'núi', 'meat hà nam cuối', 'việt nam', 'masan', 'công ty', 'ctcp', 'trương công thắng chủ tịch', 'bột giặt', 'vingroup masan', 'net netco', 'phạm hồng sơn', 'tập đoàn', 'masan consumer', 'masan tổng', 'masan comsumer holdings', 'masan hpc được', 'pháo', 'tnhh', 'masan hpc']"
782,"['yoo je bong', 'cho', 'hana từ', 'keb', 'thuê', 'phan đức tú chủ tịch', 'miền', 'hana', 'công ty', 'nam', 'bắc', 'hana bank', 'bidv', 'hana theo', 'minsheng giám', 'tài chính', 'tập đoàn', 'đốc', 'tnhh', 'khối chiến']"
790,"['watch', 'đá quý', 'gold', 'ctcp', 'phú nhuận', 'pnj', 'silver', 'vàng bạc']"
791,"['châu á', 'mỹ', 'fpt', 'thái bình dương']"
792,"['châu á', 'mỹ', 'fpt', 'thái bình dương']"
793,"['cổ phần', 'mỹ', 'fpt', 'công ty', 'châu á', 'thái bình dương']"
794,"['bidv', 'hose bid']"
795,"['fpt', 'apple', 'đà nẵng', 'subsidy', 'hà nội', 'hưng yên', 'thái nguyên', 'hải dương', 'friends', 'retail', 'long châu', 'gfk fpt shop', 'nam định']"
796,"['thế giới', 'hose mwg', 'research', 'ctcp', 'di động', 'đầu tư', 'ssi']"
797,"['masan consumer holdings', 'masan', 'châu phi', 'masan meatlife', 'quang', 'vingroup theo', 'hà nội', 'nguyễn đăng quang', 'vingroup', 'masan group', 'jacobs']"
798,"['cổ phần', 'công ty', 'thế giới', 'nam nam trung bộ', 'di động', 'đầu tư', 'mwg', 'miền']"
799,"['thế giới', 'ctcp', 'di động', 'đầu tư', 'việt nam']"
800,"['châu âu', 'hose pnj', 'tây', 'công ty', 'đá quý', 'watch', 'vàng bạc', 'hcm', 'pnj', 'tây nguyên', 'miền', 'phú nhuận']"
801,"['khải', 'gia định', 'tmcp', 'phát triển', 'cp', 'phú mỹ hưng', 'nhnn', 'gia định bidv gia', 'đầu tư', 'việt nam', 'công ty', 'ctcp', 'định', 'đức', 'bidv', 'ngân hàng', 'era town giá', 'và', '1', 'quận']"
802,"['phát triển', 'yoo je bong', 'hana', 'keb', 'ngân hàng', 'hose bid', 'hana bank', 'và', 'đầu tư', 'bidv', 'nhà nước', 'việt nam']"
803,"['hsbc', 'thế giới', 'ngân hàng', 'di động', 'tnhh', 'việt nam', 'mtv']"
804,"['bidv', 'hose bid', 'trần xuân hoàng', 'hoàng']"
805,"['ảnh lê hải cuối', 'trần xuân hoàng', 'tú', 'phan đức tú', 'ngân hàng', 'lê kim hoà', 'hose bid', 'vamc', 'hana bank', 'nhnn', 'bidv', 'nhà nước']"
806,"['ảnh lê hải cuối', 'trần xuân hoàng', 'tú', 'phan đức tú', 'ngân hàng', 'lê kim hoà', 'hose bid', 'vamc', 'hana bank', 'nhnn', 'bidv', 'nhà nước']"
807,"['đà nẵng', '7', 'nẵng', 'phổi', 'london anh', 'xanh đmx', 'trung tâm', 'số', 'điện máy', 'vanda', 'người', 'bệnh viện', 'xanh', 'nguyễn văn linh đà', 'tp', 'siêu thị', 'thành phố', 'kiểm soát', 'hà nội', 'bệnh tật', 'anh', 'khách sạn']"
808,"['công ty', 'hose fpt', 'fpt']"
809,"['công ty', 'hose fpt', 'việt nam', 'fpt']"
810,"['vincom', 'vinmart', 'hạ long', 'đà nẵng', 'siêu thị', 'cần thơ', 'hải phòng', 'hcm', 'nha trang', 'vincom retail']"
811,"['lead ssiam vnfin lead', 'hose', 'quỹ etf ssiam vnfin', 'hnx', 'công ty', 'tp', 'fuessvfl', 'chứng khoán', 'hose ssi', 'hcm', 'ssi', 'việt nam', 'etf']"
812,"['mặt trận', 'trung ương', 'cổ phần', 'châu âu', 'công ty', 'tổ quốc', 'hầu a lềnh', 'ubtư', 'trần thanh mẫn', 'chứng khoán', 'bình định', 'tỉnh', 'mttq', 'ssi', 'uỷ ban', 'việt nam', 'nguyễn xuân phúc']"
813,"['điện máy', 'công ty', 'thế giới', 'hose mwg', 'tp', 'biên hoà', 'xanh', 'hà nội', 'di động', 'hcm', 'đầu tư', 'mwg']"
814,"['công ty', 'đá quý', 'cao ngọc duy', 'trần phương ngọc thảo', 'phú nhuận', 'cao thị ngọc hồng', 'pnj', 'trần phương ngọc giao', 'cao thị ngọc dung', 'thảo', 'vàng bạc']"
815,"['châu âu', 'thái bình', 'mỹ', 'fpt', 'nhật bản', 'ấn độ', 'trung quốc', 'navigos group', 'công ty', 'chứng khoán', 'châu á', 'vnpt', 'dương apac', 'viettel', 'vndirect']"
816,"['hose pnj', 'công ty', 'đá quý', 'vàng bạc', 'watch năm', 'pnj', 'silver', 'phú nhuận']"
817,"['di', 'điện máy', 'công ty', 'thế giới', 'trần kinh doanh', 'siêu thị', 'đoàn văn hiểu em', 'xanh', 'doanh', 'nguyễn đức tài', 'đầu tư', 'đặng minh lượm']"
818,"['phát triển', 'rồng việt vdsc', 'công ty', 'bản', 'keb', 'ngân hàng', 'hana thương', 'llc', 'chứng khoán', 'việt vcsc', 'và', 'đầu tư', 'bidv', 'nhà nước', 'việt nam', 'ssi']"
819,"['y tế', 'hose fpt', 'fpt', 'công ty', 'deawoo ba đình', 'bộ', 'khách sạn']"
820,"['điện máy', 'hose mwg', 'thành phố', 'xanh', 'hà nội', 'di động']"
821,"['vincom', 'vinmart', 'vincom center đồng khởi', 'hạ long', 'đà nẵng', 'tp', 'công ty', 'siêu thị', 'tập đoàn', 'cần thơ', 'vincom retail hose vre', 'hà nội', 'hải phòng', 'hcm', 'nha trang', 'vingroup']"
822,"['vincom retail', 'vingroup', 'việt nam']"
823,"['điện máy', 'thế giới', 'hose mwg', 'ảnh genk lãnh', 'bách hoá', 'xanh', 'hiểu em', 'ctcp', 'hà nội', 'doanh', 'di động', 'đầu tư', 'mwg', 'đạo', 'đoàn văn hiểu em tổng giám đốc']"
824,"['trung quốc', 'nông nghiệp', 'fpt', 'ấn độ', 'số', 'hiệp hội', 'trương gia bình', 'việt nam', 'bình']"
826,"['hà nội', 'mwg', 'tài', 'nguyễn đức tài']"
827,"['phương', 'hose fpt', 'fpt', 'nguyễn thế phương', 'ctcp']"
828,"['tân chánh hiệp', 'phú quốc', 'yên phong', 'đống đa', 'hcm', 'du lịch', 'thương mại', '2', 'phường', 'tmcp', 'số', 'phát triển', 'cửa cạn', 'bắc ninh', 'kiên giang', 'nhà', 'hồng', 'đầu tư', 'nguyên', 'quản lý', 'group', 'việt nam', 'bãi cửa cạn', 'hưng ngân hưng ngân', '12', 'kinh tế', 'ban', 'công ty', 'huyện', 'ctcp', 'hoàng diệu', 'bidv', 'xã', 'phú nhuận', 'sở giao dịch', 'khu', 'tp', 'b1', 'ngân hàng', 'hưng ngân', '51', 'hà nội', 'tỉnh', 'và', 'quận']"
829,"['nguyễn thế phương', 'fpt', 'trương gia bình chủ tịch', 'ctcp']"
830,"['hose fpt', 'phương', 'châu âu', 'mỹ', 'fpt', 'nhật bản', 'nguyễn thế phương', 'công ty', 'châu á', 'thái bình dương']"
831,"['sản xuất', 'điện tử', 'công ty', 'trí tuệ nhân tạo', 'tập đoàn', 'vinai', 'viện', 'vinsmart', 'nghiên cứu', 'và', 'thiết', 'vingroup', 'vinai research']"
832,"['linh', 'hose mwg', 'nguyễn đức tài tổng giám đốc', 'đoàn văn hiểu em thành viên', 'tùng', 'nguyễn huy thanh tùng', 'lý trần kim ngân', 'điện máy', 'đầu tư', 'đặng minh lượm', 'công ty', 'vũ đăng linh', 'hiểu em', 'xanh', 'nguyễn thị thu hương', 'thế giới', 'siêu thị', 'lượm', 'di động', 'ngân']"
833,"['công ty', 'cổ phần', 'fpt']"
834,"['bidv', 'hose bid', 'nhnn']"
836,"['cơ quan', 'điện máy', 'xanh', 'di động', 'các', 'chuỗi bhx', 'nhà nước']"
837,"['nguyễn quốc hùng', 'sông', 'hà', 'phường', 'tân lân', 'hoàng minh châu', 'đường', 'cách mạng tháng tám', 'nguyễn văn trị', 'đan phượng', 'biên hoà', 'huỳnh văn luỹ', 'hoà bình', 'nội dự kiến', 'bà rịa vũng tàu', 'đồng nai', 'huyện', 'vincom', 'tp', 'tập đoàn', 'tỉnh', 'hà nội', 'ubnd', 'đình', 'vingroup', 'châu đức']"
838,"['hose', 'nguyễn hải thắng nhà', 'basel', 'nhnn', 'vn30', 'thắng']"
839,"['nam trung bộ', 'điện máy', 'xanh', 'cà mau', 'di động', 'nam bộ', 'đắk lắk']"
840,"['tổng công ty', 'fpt', 'công ty', 'vốn', 'lê song lai', 'vinamilk', 'scic', 'sic', 'một', 'và', 'đầu tư', 'kinh doanh', 'thành viên', 'tnhh', 'nhà nước']"
841,"['đảo', 'mariana', 'nha trang', 'hòn tre', 'vingroup', 'việt nam']"
842,"['bsc', 'vietnam index ftse etf', 'bidv', 'vn', 'stb', 'ftse']"
843,"['đường', 'khải', 'gia định', '15b', 'tp', '7', 'phú mỹ hưng', 'ngân hàng', 'ctcp', 'định', 'đức', 'hcm', 'gia định bidv gia', 'bidv', '1', 'nhà nước', 'quận']"
844,"['hose fpt', 'thái bình', 'châu âu', 'fpt', 'công ty', 'châu á', 'dương apac mỹ']"
845,"['cổ phần', 'tài', 'an khang', 'công ty', 'thế giới', 'tp', 'bách hoá', 'tập đoàn', 'xanh', 'hcm', 'nguyễn đức tài', 'việt nam', 'bán lẻ']"
846,"['công ty', 'cổ phần', 'khải', 'đức']"
847,"['smart city', 'vinhomes', 'đan phượng', 'vinhomes grand park', 'hà nội', 'vinsmart', 'vincom retail', 'vingroup']"
848,"['smart city', 'vingroup vinfast', 'vinhomes grand park đồng', 'vinsmart', 'vincom retail', 'vingroup']"
849,"['watch trong', 'silver', 'gold', 'pnj']"
850,"['mwg', 'sở giao dịch', 'tp', 'chứng khoán', 'hcm', 'uỷ ban', 'nhà nước', 'việt nam', 'nguyễn đức tài chủ tịch']"
851,"['hà tĩnh', 'bắc miền trung được', 'đường', 'vinhomes', 'tp', 'vinpearl', 'thạch hà', 'vincom hà tĩnh ảnh', 'huyện', 'tỉnh', 'vincom hà tĩnh', 'ubnd', 'hà huy tập', 'hàm nghi', 'vingroup', 'khách sạn']"
852,['đmx']
853,"['tp', 'bắc', 'hcm', 'pnj', 'miền']"
854,"['bưởi vĩnh phúc ba', 'phường', 'đường', 'phố', 'yên phú', 'giá', 'giai phạm', 'công ty', 'hoà bình', 'huế hai bà trưng', 'sx', 'yên mỹ', 'ctcp', 'huyện', 'tm', 'hưng yên', 'bidv', 'xã', 'hoàng mai', 'inox hoà bình', 'đình', 'hà nội', 'tỉnh', 'và', 'agribank', 'giáp bát', 'tnhh', 'thôn', 'quận']"
855,['pnj']
856,"['cảng', 'vingroup ảnh l h', 'vingroup hose vic', 'vinfast', 'vinhomes', 'đan phượng', 'vinpearl tuy', 'vinfast công ty', 'việt nam', 'quảng ninh', 'smart city', 'mỹ', 'lạch huyện', 'tp', 'vượng', 'tập đoàn', 'vinhomes grand park', 'hà nội', 'hải phòng', 'vincom retail', 'vingroup']"
857,"['gia định', '7', 'thuận thảo', 'bình chánh', 'hcm', 'du lịch', 'đồng bằng', 'đường', 'tân túc', 'sông cửu long', 'bùi thị xuân', 'thị trấn', 'đầu tư', 'công ty', 'ctcp', 'quý hải phú quốc', 'huyện', 'bidv', 'khu', 'nam sài gòn', '15b', 'tp', 'sinh thái', 'phú tài', '1', 'quận']"
858,"['phạm vũ thanh giang', 'phạm thị mỹ hạnh', 'robert alan willett cổ', 'pnj']"
859,"['tân chánh hiệp', 'phú quốc', 'đống đa', '10', 'hcm', 'du lịch', '130', 'phường', 'cửa cạn', 'đường', 'kiên giang', 'tử giám', 'nhà', 'quản lý', 'bãi cửa cạn', '12', 'kinh tế', 'ban', 'ctcp', 'nguyên hồng phường láng hạ', 'tôn đức thắng quốc', 'huyện', 'hoàng diệu', 'bidv', 'xã', 'phú nhuận', 'khu', 'tp', 'b1', 'hưng ngân', '51', 'hà nội', 'tỉnh', 'nguyễn đắc điềm', 'quận']"
860,"['nông nghiệp', 'nông thôn', 'phường', 'phát triển', 'quảng yên như', 'trịnh đình dũng', 'quảng yên', 'đầu tư', '&', 'thị xã', 'hạ long', 'kế hoạch', 'xanh', 'bộ', 'quảng ninh', 'hà an hoàng tân', 'môi trường', 'vingroup ctcp vinhomes', 'hà khẩu đại yên', 'tân an', 'tp', 'tập đoàn', 'tỉnh', 'ubnd', 'xây dựng', 'liên hoà', 'tài nguyên']"
861,"['nông nghiệp', 'nông thôn', 'phường', 'phát triển', 'quảng yên như', 'trịnh đình dũng', 'quảng yên', 'đầu tư', '&', 'thị xã', 'hạ long', 'kế hoạch', 'xanh', 'bộ', 'quảng ninh', 'hà an hoàng tân', 'môi trường', 'vingroup ctcp vinhomes', 'hà khẩu đại yên', 'tân an', 'tp', 'tập đoàn', 'tỉnh', 'ubnd', 'xây dựng', 'liên hoà', 'tài nguyên']"
862,"['trung quốc', 'ava', 'tài', 'china', 'tp', 'đoàn văn hiểu em', 'xanh', 'hiểu em', 'hiểu em công ty', 'delight', 'di động', 'hcm', 'nguyễn đức tài', 'việt nam', 'bách hoá']"
863,"['thương mại', 'phát triển', 'masan consumer holdings', 'masan group hosemsn', 'masan cosumer holdings mch', 'the sherpa', 'crownx', 'nguyễn đăng quang', 'cổ phần', 'masan', 'công ty', 'vineco', 'ctcp', 'crownx nếu masan', 'vcm', 'masan group theo', 'dịch vụ', 'danny le', 'và', 'vingroup', 'tnhh', 'masan group']"
864,"['cổ phần', 'vinacafé biên hoà vcf', 'công ty', 'masan beverage', 'hàng tiêu dùng', 'vinacafé biên hoà', 'tnhh', 'masan masan consumer doanh nghiệp', 'mtv']"
865,"['masan', 'ông', 'morgan stanley', 'danny le', 'tập đoàn', 'ngân hàng', 'đại học', 'đầu tư', 'masan group', 'bowdoin mỹ trước']"
866,"['citizen', 'đoàn văn hiểu em', 'di động']"
868,"['dũng', 'xanh ngoài', 'tài', 'tp', 'đồng nai', 'báo', 'hcm', 'ubnd', 'cao tiến dũng', 'nguyễn đức tài', 'mwg']"
869,"['gold', 'pnj']"
870,"['bidv', 'hose bid']"
872,"['tài sản', 'tài', 'thuận thảo', 'bình chánh', 'phường', 'tmcp', 'đấu giá', 'phát triển', 'đường', 'phú tài bidv phú', 'tân túc', 'bùi thị xuân', 'thị trấn', 'đầu tư', 'việt nam', 'tp hồ chí minh', 'võ thị thanh', 'ctcp', 'huyện', 'bidv', 'bến thành', 'nam sài gòn', 'phú tài với', 'ngân hàng', 'và', '1', 'lam sơn', 'quận']"
874,"['bảo việt bvsc', 'hose', 'sở giao dịch', 'mirae asset', 'hnx', 'công ty', 'tp', 'chứng khoán', 'hà nội', 'hsc', 'hose ssi', 'hcm', 'ssi', 'vndirect', 'shs']"
875,"['hose', 'hose doanh nghiệp', 'hnx', 'công ty', 'chứng khoán', 'hose ssi', 'nguyễn hồng nam']"
876,"['hose fpt theo', 'sở giao dịch', 'tổng công ty', 'fpt', 'thực phẩm', 'công ty', 'tp', 'vốn', 'chứng khoán', 'trương gia bình', 'scic', 'năm', 'hcm', 'và', 'đầu tư', 'kinh doanh', 'nhà nước', 'công nghệ']"
879,"['smart city', 'vincom retail', 'vinhomes', 'quảng ninh', 'tập đoàn', 'vingroup hose vic', 'vinsmart', 'hải phòng', 'vinfast', 'vingroup', 'vinhomes grand park ngoài', 'vinpearl']"
880,"['mỹ', 'masan group', 'hung nguyen đoàn thị', 'nguyễn thiều nam michael', 'duyên đây', 'chứng khoán', 'giá', 'danny lê', 'uỷ ban', 'nhà nước']"
881,"['công ty', 'hose fpt', 'mỹ', 'fpt']"
882,"['hose pnj', 'công ty', 'đá quý', 'lê trí thông tổng giám đốc', 'phú nhuận', 'pnj', 'cao thị ngọc dung', 'vàng bạc']"
883,"['ngọc khánh', 'huỳnh', 'hạ', 'khánh', 'ngọc', 'kháng', 'láng', 'bidv', 'chi', 'thúc']"
886,"['công ty', 'thế giới', 'hose mwg', 'di động', 'đầu tư', 'mwg', 'siêu rẻ']"
887,"['công ty', 'smart cloud', 'tnhh', 'fpt']"
888,"['vàng', 'lê trí thông', 'cổ phần', 'công ty', 'đá quý', 'lê trí thông tổng giám đốc', 'vàng bạc', 'nợ', 'chi phí', 'phú nhuận']"
889,['fpt']
890,"['hose', 'hnx', 'chứng khoán', 'ctcp', 'forbes', 'hose ssi', 'ssi', 'việt nam']"
891,"['vàng', 'hose pnj', 'đá quý', 'lê trí thông tổng giám đốc', 'vàng bạc', 'khối cung', 'đặng hải anh', 'pnj', 'hđqt', 'lê quang phúc', 'phú nhuận']"
892,"['telecom', 'fpt', 'upcom fox']"
893,"['đà nẵng', 'silver', 'pnj']"
894,"['nguyễn văn hải tổng giám đốc', 'ava', 'hải', 'pnj', 'vndirect']"
895,"['công ty', 'ngọc', 'fpt', 'bùi quang ngọc']"
896,"['thị xã', 'nguyễn đức long', 'đồi', 'tập đoàn', 'tỉnh', 'ubnd', 'đông triều', 'vingroup', 'hồ', 'quảng ninh', 'khe chè']"
898,"['bidv', 'hose bid']"
899,"['tân mỹ', 'safari hạ long kcn', 'cần giuộc', 'vingroup hose vic', 'đô thị', 'thạnh hoà', 'khe chè', 'đức lập thượng mới', 'bắc luân', 'việt nam', 'quảng yên khu', 'hậu nghĩa', 'bình đức', 'thị xã', 'hạ long', 'đức hoà', 'vinhomes đức hoà long', 'huyện', 'an', 'bến lức', 'đông triều', 'xã', 'hồ', 'quảng ninh', 'long an', 'tập đoàn', 'tỉnh', 'vingroup']"
900,"['hose', 'ngọc', 'fpt', 'bùi quang ngọc']"
901,"['võ thị thanh phía', 'cảng', 'thép', 'thuận thảo', 'bình chánh', 'hcm', 'thương mại', 'phường', 'tmcp', 'phát triển', 'đường', 'tân túc', 'upcom gtt', 'cái rồng', 'bùi thị xuân', 'thị trấn', 'đầu tư', 'việt nam', 'nam sơn', 'cổ phần', 'võ thị thanh', 'công ty', 'huyện', 'hưng yên', 'bidv', 'quảng ninh', 'bến thành', 'nam sài gòn', 'tp', 'phú yên', 'ngân hàng', 'vân đồn', 'đại dương', 'tỉnh', 'và', 'xây dựng', 'kinh doanh', '1', 'quận']"
902,"['phát triển', 'elcom', 'điện tử', 'samarang ucits', 'chứng khoán', 'ctcp', 'viễn thông', 'việt nam', 'nguyễn duy hưng', 'pyn elite fund', 'đầu tư', 'ssi', 'công nghệ', 'elcom theo']"
903,['fpt']
904,"['bidv', 'việt nam']"
905,"['cổ phần', 'hose pnj', 'công ty', 'đá quý', 'đà nẵng', 'phú nhuận', 'pnj', 'vàng bạc']"
908,"['đảo', 'lng', 'kỳ anh', 'điện khí', 'exxon mobil', 'cái tráp', 'hà tĩnh', 'vũng áng', 'đoàn', 'siemens', 'cát hải', 'thị xã', 'công ty', 'huyện', 'đức', 'nhà máy', 't&t', 'tập đoàn', 'vingroup tập', 'tỉnh', 'điện', 'ubnd', 'vingroup']"
909,"['phát triển', 'ngân hàng', 'hose bic', 'và', 'đầu tư', 'bidv', 'việt nam']"
910,"['phương nam pnb', 'pnb', 'dương công minh', 'nhnn', 'stb', 'nguyễn đức thạch diễm']"
911,"['msn', 'mbb', 'vn30', 'vn', 'index']"
912,"['hose pnj', 'công ty', 'đá quý', 'vàng bạc', 'pnj', 'phú nhuận']"
913,"['thái bình', 'nhật bản', 'fpt', 'châu á', 'dương apac']"
914,"['fpt', 'tower', 'tập đoàn', 'cần thơ', 'đại học', 'chi phí', 'telecom tân thuận fpt']"
915,"['gold', 'chứng khoán', 'pnj', 'uỷ ban', 'nhà nước']"
916,"['y tế', 'đà nẵng', 'bắc ninh', 'hải phòng', 'bộ', 'vingroup']"
917,"['chăn nuôi', 'phạm', 'đoàn', 'chính', 'thanh nam', 'hà', 'nguyễn xuân giáp phạm hồng', 'du lịch', 'thương mại', 'đinh', 'nguyễn', 'phát triển', 'hà tĩnh', 'tand', 'cp', 'anh', 'dũng', 'đoàn hồng dũng', 'bình hà', 'ánh', 'đầu tư', 'xuân', 'văn', 'bình hà công ty', 'thị', 'việt nam', 'kiều', 'hà thành', 'công ty', 'quang', 'đình', 'vân', 'bidv', 'trần bắc hà', 'lạm', 'ngô duy chính', 'duy', 'tp', 'hồng', 'ngân hàng', 'hà nội', 'và', 'tnhh', 'trung dũng', 'thanh']"
918,"['tài', 'thế giới', 'trần huy thanh tùng', 'nguyễn đức tài', 'đầu tư', 'tùng', 'mwg']"
919,"['asean', 'đào phong trúc đại', 'bumper aapico lear zf', 'công nghiệp', 'hải', 'thành công', 'sông', 'cái với', 'tp móng', 'việt hưng', 'phát triển', 'vinhomes', 'nguyễn mạnh tuấn trưởng', 'lục lầm', 'cp', 'đầu tư', 'quản lý', 'trường', 'việt nam', 'cổ phần', 'kinh tế', 'ban', 'công ty', 'liên bang', 'đức', 'quảng ninh', 'khu', 'tập đoàn', 'tỉnh', 'hải phòng', 'trần bá dương', 'vingroup']"
920,"['asean', 'đào phong trúc đại', 'bumper aapico lear zf', 'công nghiệp', 'hải', 'thành công', 'sông', 'cái với', 'tp móng', 'việt hưng', 'phát triển', 'vinhomes', 'nguyễn mạnh tuấn trưởng', 'lục lầm', 'cp', 'đầu tư', 'quản lý', 'trường', 'việt nam', 'cổ phần', 'kinh tế', 'ban', 'công ty', 'liên bang', 'đức', 'quảng ninh', 'khu', 'tập đoàn', 'tỉnh', 'hải phòng', 'trần bá dương', 'vingroup']"
921,"['nguyễn thế minh giám', 'minh', 'công ty', 'yuanta', 'chứng khoán', 'pnj', 'silver', 'việt nam']"
922,"['forbes', 'việt nam', 'pnj']"
923,"['đà nẵng', 'đô thị', 'nghiên cứu', 'phường', 'phần mềm', 'trung tâm', 'quy nhơn bình định', 'phát triển', 'quy nhơn', 'bùi thị xuân', 'bình định', 'công ty', 'nguyễn phi long pct', 'ctcp', 'fpt', 'tp', 'tỉnh', 'ubnd', 'trần quang diệu', 'và', 'tnhh', 'công nghệ']"
924,"['đà nẵng', 'đô thị', 'nghiên cứu', 'phường', 'phần mềm', 'trung tâm', 'quy nhơn bình định', 'phát triển', 'quy nhơn', 'bùi thị xuân', 'bình định', 'công ty', 'nguyễn phi long pct', 'ctcp', 'fpt', 'tp', 'tỉnh', 'ubnd', 'trần quang diệu', 'và', 'tnhh', 'công nghệ']"
925,"['đà nẵng', 'đô thị', 'nghiên cứu', 'phường', 'phần mềm', 'trung tâm', 'quy nhơn bình định', 'phát triển', 'quy nhơn', 'bùi thị xuân', 'bình định', 'công ty', 'nguyễn phi long pct', 'ctcp', 'fpt', 'tp', 'tỉnh', 'ubnd', 'trần quang diệu', 'và', 'tnhh', 'công nghệ']"
926,"['đà nẵng', 'đô thị', 'nghiên cứu', 'phường', 'phần mềm', 'trung tâm', 'quy nhơn bình định', 'phát triển', 'quy nhơn', 'bùi thị xuân', 'bình định', 'công ty', 'nguyễn phi long pct', 'ctcp', 'fpt', 'tp', 'tỉnh', 'ubnd', 'trần quang diệu', 'và', 'tnhh', 'công nghệ']"
927,"['lê trí thông', 'cao thị ngọc dung', 'pnj']"
928,"['tân tiến', 'bắc giang', 'bắc', 'quảng phúc', 'thương', 'sông', 'trung tâm', 'núi', 'mai', 'đồng', 'sơn', 'tiền', 'phong tân', 'xã', 'đồng', 'liễu', 'giang', 'tp', 'song', 'hà nội', 'ubnd', 'vingroup']"
929,['fpt']
